,Food_Code,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats
Dark chocolate candy bar,91705300,1,1,bar (1.45 oz),1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,14.022,5.00282,0,207.05,8.2328
"Coconut candy, chocolate-covered",91706000,1,1,bar (1.75 oz),1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.954,0,0,1.62867,31.3605,86.10557,0,243,10.29
Chocolate-covered candy,91707010,1,1,butter cream,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.27324,5.6736,59.29784,0,73.2,1.092
Fruit roll-up (fruit snack chews),91708030,1,1,pouch (1 oz),1,0.5,0.5,0.51856,0,0,0,0,0,0,0.09016,0,0,0,0,0.16713,0,45.84343,0,103.88,0.182
Snickers candy bar,91715100,1,1,bar (2 oz),1,0.5,0.5,0,0,0,0,0,0,0,0,0.12483,0.75012,0,0,1.74369,38.59812,99.97624,0,273.03,5.1243
Butterfinger candy bar,91718100,1,1,bar (2.2 oz),1,0.5,0.5,0.16165,0,0,0,0,0,0,0,0.01342,0.72041,0,0,0.79286,54.65295,120.40703,0,290.36,6.2464
Marshmallows,91723000,1,1,regular,1,1,1,0.07956,0,0,0,0,0,0,0,0,0,0,0,0.00242,0,16.05401,0,22.896,0.00432
Milky Way candy bar,91726130,1,1,bar (1.9 oz),1,0.5,0.5,0.13878,0.06966,0,0,0,0,0,0,0.09018,0,0,0,0.4872,58.08672,121.80065,0,228.42,4.2066
M&M's candies with peanuts,91731010,1,1,package (1.67 oz),1,0.25,0.25,0,0,0,0,0,0,0,0,0.141,0.82908,0,0,1.49032,30.76056,78.86896,0,242.52,4.8551
Peanut brittle,91733000,1,1,medium piece (0.3 oz),1,1,1,0,0,0,0,0,0,0,0,0,0.18549,0,0,0.1802,3.68469,22.98592,0,43.56,0.3726
Peanut butter cups (Reese's),91734100,1,1,"package (2 cups, 1.6 oz)",1,0.5,0.5,0,0,0,0,0,0,0,0,0.162,0.25155,0,0,1.7501,46.5183,71.7606,0,231.75,4.8285
Fast Break candy bar (Reese's),91734400,1,1,regular size bar,1,0.25,0.25,0,0,0,0,0,0,0,0,0.2,0.62,0,0,1.89,40.5,116,0,282.15,4.58052
Hard candy,91745020,2,1,"roll (0.9 oz, 12 pieces)",1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.01156,0,63.34834,0,102.44,0
M&M's plain chocolate candies,91746100,1,1,package (1.7 oz),1,0.25,0.25,0.2688,0,0,0,0,0,0,0,0.10416,0,0,0,1.2752,39.42864,111.99656,0,236.16,6.2784
Taffy,91750000,1,1,piece,1,1,1,0.03713,0,0,0,0,0,0,0.00188,0.00301,0.00677,0.00009,0,0.00825,6.34669,22.19545,0,37.318,0.20492
Dietetic hard candy,91770020,1,1,Sweet'n Low candy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0
Dietetic chocolate-covered candy,91770030,1,1,section candy bar,1,1,1,0.02961,0,0,0,0,0,0,0.00518,0.03927,0.08827,0,0,0.16066,16.13934,1.74991,0,40.25,1.5337
Chewing gum (made with sugar),91801000,1,1,piece,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88,0,9.88,0.0016
Chewing gum (sugar-free),91802000,1,1,piece,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0.0012
Tea (sweetened),92305040,2,1,teacup (cup = 6 fl oz),1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,52.5,0
Tonic water (quinine water),92410110,1,1,can,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.44,0,124.44,0
Club soda (seltzer),92410210,1,1,can,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soft drink, regular",92410310,1,1,can,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.66174,0,154.98,0
Blue cheese dressing,83101000,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0.03106,0.03519,0,0,1.56036,7.87506,1.28571,0,77.112,1.5147
French dressing,83104000,1,1,Tablespoon,1,0.5,0.5,0,0,0.00406,0,0,0,0.00406,0,0,0,0,0,1.5522,0,8.38784,0,71.292,0.8814
Italian dressing (oil & vinegar),83106000,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.92617,0,4.33665,0,42.777,0.65709
